"id","num_amino_acids_in_sample","num_beta_amino_acids_in_sample","numberofAA","num_baa"
"P09950",59,9,NA,NA
"P54115",327,66,NA,NA
"P35724",18,0,NA,NA
"P38708",298,78,NA,NA
"Q86ZR7",50,6,NA,NA
"P32787",24,3,NA,NA
"Q02792",17,0,NA,NA
"Q06494",52,4,NA,NA
"P08518",124,33,NA,NA
"P31688",147,29,NA,NA
"P32463",28,0,NA,NA
"P06105",426,110,NA,NA
"P49089",168,43,NA,NA
"P22803",51,12,NA,NA
"P39533",70,16,NA,NA
"P16861",442,69,NA,NA
"P32419",76,15,NA,NA
"Q08245",56,0,NA,NA
"P32599",264,0,NA,NA
"P40185",109,35,NA,NA
"P27616",187,55,NA,NA
"P38687",91,1,NA,NA
"P38825",54,0,NA,NA
"Q12068",52,7,NA,NA
"P26786",96,26,NA,NA
"P39104",8,0,NA,NA
"P38788",289,87,NA,NA
"P32563",176,37,NA,NA
"P15624",215,56,NA,NA
"P15565",45,9,NA,NA
"P53598",125,23,NA,NA
"P00890",131,16,NA,NA
"P40961",87,10,NA,NA
"P12709",385,58,NA,NA
"Q10740",63,11,NA,NA
"P32589",349,78,NA,NA
"P10592",128,29,NA,NA
"P14682",13,0,NA,NA
"P15891",176,12,NA,NA
"P10964",236,14,NA,NA
"P26785",63,9,NA,NA
"P33204",60,22,NA,NA
"P49090",173,47,NA,NA
"Q04371",88,9,NA,NA
"P00942",169,33,NA,NA
"P11075",124,0,NA,NA
"Q99287",39,5,NA,NA
"P0CS90",295,61,NA,NA
"P22203",110,14,NA,NA
"P20434",41,6,NA,NA
"Q03655",43,7,NA,NA
"Q01939",78,7,NA,NA
"P26321",196,41,NA,NA
"P34167",116,10,NA,NA
"P48164",84,21,NA,NA
"P32324",597,164,NA,NA
"P04147",350,68,NA,NA
"P42945",175,0,NA,NA
"Q08972",260,14,NA,NA
"P38088",277,77,NA,NA
"P38768",9,0,NA,NA
"P38934",166,0,NA,NA
"P38174",49,0,NA,NA
"P38623",19,4,NA,NA
"Q04636",99,45,NA,NA
"Q03862",130,31,NA,NA
"P27809",84,5,NA,NA
"P32074",191,28,NA,NA
"P39935",190,0,NA,NA
"P06634",244,43,NA,NA
"P32377",84,25,NA,NA
"P39990",91,16,NA,NA
"P53738",38,8,NA,NA
"P00549",424,94,NA,NA
"P38998",62,23,NA,NA
"Q06142",313,0,NA,NA
"P19882",311,38,NA,NA
"P07278",35,13,NA,NA
"P53733",22,2,NA,NA
"P43583",79,0,NA,NA
"P53742",36,6,NA,NA
"P12945",132,0,NA,NA
"P00817",212,64,NA,NA
"P40413",127,11,NA,NA
"P09624",246,59,NA,NA
"P07244",460,88,NA,NA
"P00925",209,30,NA,NA
"P00924",122,15,NA,NA
"P07259",990,194,NA,NA
"P07262",177,20,NA,NA
"Q12452",73,4,NA,NA
"P53313",68,0,NA,NA
"P39730",339,89,NA,NA
"P46655",379,78,NA,NA
"P06197",11,0,NA,NA
"P32366",156,0,NA,NA
"P31116",219,41,NA,NA
"Q12692",44,0,NA,NA
"P32473",239,32,NA,NA
"P40024",187,34,NA,NA
"P06168",242,46,NA,NA
"Q12344",19,0,NA,NA
"P33421",11,0,NA,NA
"P00498",168,59,NA,NA
"P25349",109,23,NA,NA
"P00560",345,60,NA,NA
"P38625",277,65,NA,NA
"P10622",45,0,NA,NA
"P25443",166,43,NA,NA
"P32628",102,2,NA,NA
"P38011",240,119,NA,NA
"P38689",77,20,NA,NA
"P16862",546,97,NA,NA
"P19097",920,93,NA,NA
"P17967",278,59,NA,NA
"Q07478",184,37,NA,NA
"Q12363",100,42,NA,NA
"P32263",169,24,NA,NA
"P14747",27,4,NA,NA
"P46969",105,20,NA,NA
"P16521",589,57,NA,NA
"P25694",461,68,NA,NA
"P23337",46,17,NA,NA
"P27472",35,8,NA,NA
"P15705",165,0,NA,NA
"P15180",208,47,NA,NA
"P09938",217,2,NA,NA
"P50276",23,0,NA,NA
"P38915",42,10,NA,NA
